Year,GEO,Population,Province
1974,British Columbia,2434720,BC
1974,Canada,22772043,CA
1974,Manitoba,1016226,MB
1974,New Brunswick,664456,NB
1974,Newfoundland and Labrador,548901,NL
1974,Nova Scotia,818261,NS
1974,Ontario,8189190,ON
1974,Quebec,6261372,QC
1974,Saskatchewan,908116,SK
1974,Yukon,21068,YT
1975,Alberta,1802853,AB
1975,British Columbia,2494629,BC
1975,Canada,23103010,CA
1975,Manitoba,1023105,MB
1975,New Brunswick,676037,NB
1975,Newfoundland and Labrador,555594,NL
1975,Nova Scotia,826194,NS
1975,Ontario,8304342,ON
1975,Quebec,6322332,QC
1975,Saskatchewan,915819,SK
1975,Yukon,21848,YT
1976,Alberta,1864399,AB
1976,British Columbia,2531737,BC
1976,Canada,23414354,CA
1976,Manitoba,1030789,MB
1976,New Brunswick,688276,NB
1976,Newfoundland and Labrador,561778,NL
1976,Nova Scotia,834812,NS
1976,Ontario,8401757,ON
1976,Quebec,6385255,QC
1976,Saskatchewan,930528,SK
1976,Yukon,22368,YT
1977,Alberta,1942192,AB
1977,British Columbia,2567936,BC
1977,Canada,23693935,CA
1977,Manitoba,1036468,MB
1977,New Brunswick,694403,NB
1977,Newfoundland and Labrador,564767,NL
1977,Nova Scotia,839945,NS
1977,Ontario,8493530,ON
1977,Quebec,6425092,QC
1977,Saskatchewan,942943,SK
1977,Yukon,22445,YT
1978,Alberta,2017090,AB
1978,British Columbia,2611636,BC
1978,Canada,23935460,CA
1978,Manitoba,1039574,MB
1978,New Brunswick,698544,NB
1978,Newfoundland and Labrador,567177,NL
1978,Nova Scotia,844466,NS
1978,Ontario,8578040,ON
1978,Quebec,6437989,QC
1978,Saskatchewan,951505,SK
1978,Yukon,22945,YT
1979,Alberta,2092557,AB
1979,British Columbia,2662293,BC
1979,Canada,24170164,CA
1979,Manitoba,1036582,MB
1979,New Brunswick,701924,NB
1979,Newfoundland and Labrador,569598,NL
1979,Nova Scotia,848879,NS
1979,Ontario,8648592,ON
1979,Quebec,6459979,QC
1979,Saskatchewan,958596,SK
1979,Yukon,22924,YT
1980,Alberta,2184262,AB
1980,British Columbia,2737538,BC
1980,Canada,24470715,CA
1980,Manitoba,1033998,MB
1980,New Brunswick,704867,NB
1980,Newfoundland and Labrador,572198,NL
1980,Nova Scotia,852126,NS
1980,Ontario,8727944,ON
1980,Quebec,6498485,QC
1980,Saskatchewan,966544,SK
1980,Yukon,23027,YT
1981,Alberta,2282738,AB
1981,British Columbia,2816980,BC
1981,Canada,24784554,CA
1981,Manitoba,1035375,MB
1981,New Brunswick,705612,NB
1981,Newfoundland and Labrador,574549,NL
1981,Nova Scotia,854902,NS
1981,Ontario,8804010,ON
1981,Quebec,6540880,QC
1981,Saskatchewan,975036,SK
1981,Yukon,23707,YT
1982,Alberta,2359433,AB
1982,British Columbia,2871303,BC
1982,Canada,25082944,CA
1982,Manitoba,1044148,MB
1982,New Brunswick,707284,NB
1982,Newfoundland and Labrador,574082,NL
1982,Nova Scotia,859088,NS
1982,Ontario,8908938,ON
1982,Quebec,6575840,QC
1982,Saskatchewan,985876,SK
1982,Yukon,24465,YT
1983,Alberta,2389818,AB
1983,British Columbia,2904171,BC
1983,Canada,25335951,CA
1983,Manitoba,1057957,MB
1983,New Brunswick,713683,NB
1983,Newfoundland and Labrador,578276,NL
1983,Nova Scotia,867586,NS
1983,Ontario,9026909,ON
1983,Quebec,6598969,QC
1983,Saskatchewan,999334,SK
1983,Yukon,23741,YT
1984,Alberta,2394104,AB
1984,British Columbia,2941539,BC
1984,Canada,25576735,CA
1984,Manitoba,1070580,MB
1984,New Brunswick,719514,NB
1984,Newfoundland and Labrador,579697,NL
1984,Nova Scotia,877198,NS
1984,Ontario,9152063,ON
1984,Quebec,6626718,QC
1984,Saskatchewan,1012931,SK
1984,Yukon,23809,YT
1985,Alberta,2402201,AB
1985,British Columbia,2972265,BC
1985,Canada,25813200,CA
1985,Manitoba,1081713,MB
1985,New Brunswick,722895,NB
1985,Newfoundland and Labrador,578856,NL
1985,Nova Scotia,885198,NS
1985,Ontario,9279890,ON
1985,Quebec,6660817,QC
1985,Saskatchewan,1023575,SK
1985,Yukon,24308,YT
1986,Alberta,2425855,AB
1986,British Columbia,3000682,BC
1986,Canada,26067486,CA
1986,Manitoba,1090618,MB
1986,New Brunswick,724758,NB
1986,Newfoundland and Labrador,576514,NL
1986,Nova Scotia,888939,NS
1986,Ontario,9421117,ON
1986,Quebec,6703313,QC
1986,Saskatchewan,1028305,SK
1986,Yukon,24484,YT
1987,Alberta,2437612,AB
1987,British Columbia,3043088,BC
1987,Canada,26397870,CA
1987,Manitoba,1097076,MB
1987,New Brunswick,726950,NB
1987,Newfoundland and Labrador,575181,NL
1987,Nova Scotia,892881,NS
1987,Ontario,9612540,ON
1987,Quebec,6772196,QC
1987,Saskatchewan,1031442,SK
1987,Yukon,25506,YT
1988,Alberta,2453974,AB
1988,British Columbia,3108064,BC
1988,Canada,26751474,CA
1988,Manitoba,1101103,MB
1988,New Brunswick,729875,NB
1988,Newfoundland and Labrador,574770,NL
1988,Nova Scotia,896729,NS
1988,Ontario,9816491,ON
1988,Quebec,6831143,QC
1988,Saskatchewan,1027949,SK
1988,Yukon,26368,YT
1989,Alberta,2493023,AB
1989,British Columbia,3189665,BC
1989,Canada,27214902,CA
1989,Manitoba,1102632,MB
1989,New Brunswick,734454,NB
1989,Newfoundland and Labrador,576057,NL
1989,Nova Scotia,903024,NS
1989,Ontario,10068044,ON
1989,Quebec,6914476,QC
1989,Saskatchewan,1019320,SK
1989,Yukon,27079,YT
1990,Alberta,2540902,AB
1990,British Columbia,3282328,BC
1990,Canada,27632360,CA
1990,Manitoba,1104302,MB
1990,New Brunswick,739547,NB
1990,Newfoundland and Labrador,576982,NL
1990,Nova Scotia,909510,NS
1990,Ontario,10267345,ON
1990,Quebec,6986226,QC
1990,Saskatchewan,1008330,SK
1990,Yukon,27852,YT
1991,Alberta,2587477,AB
1991,British Columbia,3367589,BC
1991,Canada,27987111,CA
1991,Manitoba,1108239,MB
1991,New Brunswick,744716,NB
1991,Newfoundland and Labrador,578742,NL
1991,Nova Scotia,914386,NS
1991,Ontario,10409479,ON
1991,Quebec,7054592,QC
1991,Saskatchewan,1002296,SK
1991,Yukon,28682,YT
1992,Alberta,2627162,AB
1992,British Columbia,3459366,BC
1992,Canada,28324154,CA
1992,Manitoba,1111732,MB
1992,New Brunswick,747418,NB
1992,Newfoundland and Labrador,579730,NL
1992,Nova Scotia,918982,NS
1992,Ontario,10549810,ON
1992,Quebec,7104606,QC
1992,Saskatchewan,1002730,SK
1992,Yukon,29717,YT
1993,Alberta,2663774,AB
1993,British Columbia,3558491,BC
1993,Canada,28651462,CA
1993,Manitoba,1116489,MB
1993,New Brunswick,748620,NB
1993,Newfoundland and Labrador,579840,NL
1993,Nova Scotia,923593,NS
1993,Ontario,10676423,ON
1993,Quebec,7153278,QC
1993,Saskatchewan,1005599,SK
1993,Yukon,30107,YT
1994,Alberta,2696102,AB
1994,British Columbia,3664473,BC
1994,Canada,28960064,CA
1994,Manitoba,1121910,MB
1994,New Brunswick,749965,NB
1994,Newfoundland and Labrador,574833,NL
1994,Nova Scotia,926652,NS
1994,Ontario,10800283,ON
1994,Quebec,7189008,QC
1994,Saskatchewan,1009113,SK
1994,Yukon,29660,YT
1995,Alberta,2730105,AB
1995,British Columbia,3766198,BC
1995,Canada,29263007,CA
